fund_name,amc_name,category,launch_date,nav,nav_currency,nav_as_of,expense_ratio,aum,aum_currency,aum_unit,inception_date,minimum_investment,lock_in_period,exit_load,benchmark_index,target_corpus_at_launch,target_corpus_at_launch,source_name,source_url,scraped_at,scrape_status,source_tier
Phillip International Pioneer Portfolio,Phillip Ventures IFSC Private Limited,"Equity, Multi-Cap, Multi-Region (PMS)",2021-12-31,,USD,,,,,,,"USD 75,000",,,,,,Phillip Ventures IFSC factsheet,https://phillipventuresifsc.com/assets/pdfs/product-services/global-portfolios/Monthly-Factsheet-Pioneer.pdf,2026-08-19T07:45:39.344000+00:00,partial,tier1_amc
Parag Parikh Global Investing Strategy,PPFAS Alternate Asset Managers IFSC Private Limited,Global Equity (PMS),2025-08-27,,USD,,,,,,,"USD 75,000",None,None,,,,PPFAS Global Investing Strategy factsheet,https://gift.ppfas.com/factsheet/2025/factsheet-nov-2025.pdf,2026-08-19T07:45:42.259899+00:00,partial,tier1_amc
Parag Parikh India Flexi Cap Fund,PPFAS Alternate Asset Managers IFSC Private Limited,Retail Fund (inbound feeder into domestic PPFAS Flexi Cap Fund),,,USD,,0.3,,,,,"USD 10,000",,"2% (Year 1), 1% (Year 2), Nil (Year 3+)",,,,Tequity verified fund directory,https://tequity.co.in/gift-city/mutual-funds/,2026-08-19T07:45:53.709322+00:00,partial,tier1_amc
NJ India Opportunities Fund,NJ Asset Management Private Limited,Retail Fund,,9.25,USD,2026-08-17,,,,,,"USD 10,000",,1% if redeemed within 1 year,,,,NJ AMC GIFT City NAV file,https://www.njmutualfund.com/njgiftcity/viewfile.php?file=NJIOF-Aug-26-NAV-20260817124710.xls,2026-08-19T07:45:54.710510+00:00,success,tier1_amc
HDFC International – Developed Markets Equity Fund,HDFC AMC International (IFSC) Limited,Retail Fund,,,USD,,0.5,,,,,USD 5000,No Lock-in,Up to 2.00%,MSCI World Index,,,HDFC AMC IFSC official fundListing API,https://www.hdfcinternational.com/invest-globally,2026-08-19T06:35:48.177947+00:00,partial,tier1_amc
HDFC International – Emerging Markets Equity Fund,HDFC AMC International (IFSC) Limited,Retail Fund,,,USD,,0.5,,,,,USD 5000,No Lock-in,Up to 2.00%,MSCI Emerging Markets Index,,,HDFC AMC IFSC official fundListing API,https://www.hdfcinternational.com/invest-globally,2026-08-19T06:35:48.177947+00:00,partial,tier1_amc
HDFC India Flexi Cap Fund,HDFC AMC International (IFSC) Limited,Retail Fund (inbound feeder),,94.6613,USD,2026-08-17,,,,,,,,,,,,HDFC AMC IFSC official home API (Class A1),https://www.hdfcinternational.com/,2026-08-19T06:35:49.600240+00:00,success,tier1_amc
HDFC India Mid-cap Opportunities Fund,HDFC AMC International (IFSC) Limited,Retail Fund (inbound feeder),,100.9283,USD,2026-08-17,,,,,,,,,,,,HDFC AMC IFSC official home API (Class A1),https://www.hdfcinternational.com/,2026-08-19T06:35:49.600240+00:00,success,tier1_amc
HDFC India Balanced Advantage Fund,HDFC AMC International (IFSC) Limited,Retail Fund (inbound feeder),,88.9377,USD,2026-08-17,,,,,,,,,,,,HDFC AMC IFSC official home API (Class A1),https://www.hdfcinternational.com/,2026-08-19T06:35:49.601363+00:00,success,tier1_amc
HDFC India Small Cap Fund,HDFC AMC International (IFSC) Limited,Retail Fund (inbound feeder),,92.7294,USD,2026-08-17,,,,,,,,,,,,HDFC AMC IFSC official home API (Class A1),https://www.hdfcinternational.com/,2026-08-19T06:35:49.601363+00:00,success,tier1_amc
HDFC India NIFTY 50 Fund,HDFC AMC International (IFSC) Limited,Retail Fund (inbound feeder),,87.3575,USD,2026-08-17,,,,,,,,,,,,HDFC AMC IFSC official home API (Class A1),https://www.hdfcinternational.com/,2026-08-19T06:35:49.601363+00:00,success,tier1_amc
Mirae Asset India Equity Allocation Fund,Mirae Asset Investment Managers (India) Private Limited (IFSC Branch),"Restricted Scheme (Non-Retail), Category III AIF",,10.4508,USD,2026-08-17,,,,,,"USD 151,000 (USD 10,000 for Accredited Investors)",,,,,,Mirae Asset official NAV API (Class A1 Units),https://giftcity.miraeassetmf.co.in/mirae-asset-india-equity-allocation-fund-ifsc-gift-city.html,2026-08-19T06:35:51.042090+00:00,success,tier1_amc
ASKWA India Opportunities Fund,ASK Investment Managers Limited,Category- III AIF,2024-03-22,,,,,,,,,,,,,USD 100 million,USD 100 million,ALTPORT fund directory,https://www.altportfunds.com/investments/askwa-india-opportunities-fund/,2026-08-19T06:32:39.129421+00:00,success,tier2_directory
ASKWA Global Opportunities Fund,ASK Investment Managers Limited,Category- III AIF,2024-03-22,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/askwa-global-opportunities-fund/,2026-08-19T06:32:43.533748+00:00,success,tier2_directory
ABSL Global Bluechip Equity Fund (IFSC),Aditya Birla Sun Life AMC Limited,"Cat III, Close Ended, Closed for Subscription",,,,,,,,,,"USD 150,100",,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/absl-global-bluechip-equity-fund-ifsc/,2026-08-19T06:32:47.226966+00:00,success,tier2_directory
ABSL Global Emerging Market Equity Fund (IFSC),Aditya Birla Sun Life AMC Limited,"Cat II, Close Ended, Closed for Subscription",2024-09-10,,,,,,,,,,"4.5 years from first close, extendable by up to 1 year",,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/absl-global-emerging-market-equity-fund-ifsc/,2026-08-19T06:32:51.237685+00:00,success,tier2_directory
